,result,table,_start,_stop,_time,_measurement,label,mobile,alpha,beta,gamma,x,y,z
107,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.094000+00:00,devicemotion,sitting,UnknownPhone,-0.1,0.0,0.1,0.0,0.0,9.9
108,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.110000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
109,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.127000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
110,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.143000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,-0.1,0.0,0.0,9.9
111,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.160000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
112,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.177000+00:00,devicemotion,sitting,UnknownPhone,0.0,-0.2,-0.1,0.0,0.0,9.9
113,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.193000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.1,0.0,0.0,0.0,10.0
114,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.211000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.1,0.0,0.0,0.0,9.9
115,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.227000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.1,0.0,0.0,0.0,9.9
116,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.243000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,-0.1,0.0,0.0,9.9
117,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.260000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.1,0.0,0.0,9.9
118,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.276000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,-0.1,0.0,0.0,9.9
119,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.293000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.1,0.0,0.0,0.0,9.9
120,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.310000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.1,0.0,0.0,0.0,9.9
121,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.326000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
122,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.343000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.1,0.0,0.0,0.0,9.9
123,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.360000+00:00,devicemotion,sitting,UnknownPhone,0.1,0.0,0.0,0.0,0.0,9.9
124,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.376000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.1,0.0,0.0,0.0,9.9
125,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.393000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
126,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.410000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
127,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.427000+00:00,devicemotion,sitting,UnknownPhone,-0.1,0.0,0.0,0.0,0.0,9.9
128,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.443000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
